sku,nombre_estandarizado,grupo_general,grupo_especializado,marca,modelo,descripcion_tecnica,capacidad,voltaje,refrigerante,tipo_operacion,seer,observaciones_equivalencia,proveedor_original,sku_original,precio_referencia,unidad
EQ-MSI-2T220-003,Minisplit Inverter Mirage Magnum22 2T 220V Frío-Calor R410A,Equipos HVAC,Minisplits Residenciales,Mirage,Magnum 22,24000 BTU Frío-Calor R410A 22 SEER,2 Ton,220V,R410A,Frío-Calor,22,Magnum 22 2 Ton Frío - Calor 220v,Tienda Mirage,MIR-1948,22347.00,Pieza
EQ-MSO-1T110-002,Minisplit On-Off Mirage NEX 1T 110V Solo Frío R410A,Equipos HVAC,Minisplits Residenciales,Mirage,NEX,12000 BTU Solo Frío R410A 11 SEER,1 Ton,110V,R410A,Solo Frío,11,NEX 1 Ton Frío 110v,Tienda Mirage,MIR-1949,5059.00,Pieza
EQ-MSO-1T110-003,Minisplit On-Off Mirage NEX 1T 110V Frío-Calor R410A,Equipos HVAC,Minisplits Residenciales,Mirage,NEX,12000 BTU Frío-Calor R410A 11 SEER,1 Ton,110V,R410A,Frío-Calor,11,NEX 1 Ton Frío - Calor 110v,Tienda Mirage,MIR-1950,5820.00,Pieza
EQ-MSO-1T220-002,Minisplit On-Off Mirage NEX 1T 220V Solo Frío R410A,Equipos HVAC,Minisplits Residenciales,Mirage,NEX,12000 BTU Solo Frío R410A 11 SEER,1 Ton,220V,R410A,Solo Frío,11,NEX 1 Ton Frío 220v,Tienda Mirage,MIR-1953,4897.00,Pieza
EQ-MSO-1.5T220-002,Minisplit On-Off Mirage NEX 1.5T 220V Solo Frío R410A,Equipos HVAC,Minisplits Residenciales,Mirage,NEX,18000 BTU Solo Frío R410A 11 SEER,1.5 Ton,220V,R410A,Solo Frío,11,NEX 1.5 Ton solo Frío 220v,Tienda Mirage,MIR-1951,8178.00,Pieza
EQ-MSO-1.5T220-003,Minisplit On-Off Mirage NEX 1.5T 220V Frío-Calor R410A,Equipos HVAC,Minisplits Residenciales,Mirage,NEX,18000 BTU Frío-Calor R410A 11 SEER,1.5 Ton,220V,R410A,Frío-Calor,11,NEX 1.5 Ton Frío - Calor 220v,Tienda Mirage,MIR-1954,8483.00,Pieza
EQ-MSO-2T220-003,Minisplit On-Off Mirage NEX 2T 220V Solo Frío R410A,Equipos HVAC,Minisplits Residenciales,Mirage,NEX,24000 BTU Solo Frío R410A 11 SEER,2 Ton,220V,R410A,Solo Frío,11,NEX 2 Ton solo Frío 220v,Tienda Mirage,MIR-1955,10548.00,Pieza
EQ-MSO-2T220-004,Minisplit On-Off Mirage NEX 2T 220V Frío-Calor R410A,Equipos HVAC,Minisplits Residenciales,Mirage,NEX,24000 BTU Frío-Calor R410A 11 SEER,2 Ton,220V,R410A,Frío-Calor,11,NEX 2 Ton Frío - Calor 220v,Tienda Mirage,MIR-1956,11266.00,Pieza
EQ-MSI-1T220-003,Minisplit Inverter Mirage X32 1T 220V Solo Frío R32,Equipos HVAC,Minisplits Residenciales,Mirage,Inverter X32,12000 BTU Solo Frío R32 17 SEER,1 Ton,220V,R32,Solo Frío,17,Inverter X32 1 Ton Solo Frío 220,Tienda Mirage,MIR-1968,6481.00,Pieza
EQ-MSI-1.5T220-005,Minisplit Inverter Mirage X32 1.5T 220V Solo Frío R32,Equipos HVAC,Minisplits Residenciales,Mirage,Inverter X32,18000 BTU Solo Frío R32 17 SEER,1.5 Ton,220V,R32,Solo Frío,17,Inverter X32 1.5 Ton Solo Frío 220,Tienda Mirage,MIR-1970,9480.00,Pieza
EQ-MSI-1.5T220-006,Minisplit Inverter Mirage X32 1.5T 220V Frío-Calor R32,Equipos HVAC,Minisplits Residenciales,Mirage,Inverter X32,18000 BTU Frío-Calor R32 17 SEER,1.5 Ton,220V,R32,Frío-Calor,17,Inverter X32 1.5 Ton Frío - Calor 220,Tienda Mirage,MIR-1971,10051.14,Pieza
EQ-MSI-3T220-001,Minisplit Inverter Mirage Inv17 3T 220V Frío-Calor R410A,Equipos HVAC,Minisplits Comerciales,Mirage,Inverter 17,36000 BTU Frío-Calor R410A 17 SEER,3 Ton,220V,R410A,Frío-Calor,17,Inverter 17 3 Ton Frío Calor 220,Tienda Mirage,MIR-1983,22802.00,Pieza
EQ-MSI-1.5T220-007,Minisplit Inverter Mirage V32 1.5T 220V Solo Frío R32,Equipos HVAC,Minisplits Residenciales,Mirage,Inverter V32,18000 BTU Solo Frío R32 17 SEER,1.5 Ton,220V,R32,Solo Frío,17,Inverter V32 1.5 Ton solo Frío 220,Tienda Mirage,MIR-1994,8963.00,Pieza
EQ-MSI-1.5T220-008,Minisplit Inverter Mirage V32 1.5T 220V Frío-Calor R32,Equipos HVAC,Minisplits Residenciales,Mirage,Inverter V32,18000 BTU Frío-Calor R32 17 SEER,1.5 Ton,220V,R32,Frío-Calor,17,Inverter V32 1.5 Ton Frío - Calor 220,Tienda Mirage,MIR-1995,9595.00,Pieza
EQ-MSI-1T220-004,Minisplit Inverter Mirage V32 1T 220V Solo Frío R32,Equipos HVAC,Minisplits Residenciales,Mirage,Inverter V32,12000 BTU Solo Frío R32 17 SEER,1 Ton,220V,R32,Solo Frío,17,Equivale a SETCVF121E,Aires Aurum,SETCVF121E,5399.00,Pieza
EQ-MSI-1T220-005,Minisplit Inverter Mirage X 1T 220V Frío-Calor R32,Equipos HVAC,Minisplits Residenciales,Mirage,Inverter X,12000 BTU Frío-Calor R32 16.5 SEER,1 Ton,220V,R32,Frío-Calor,16.5,Equivale a SETCMC121J,Aires Aurum,SETCMC121J,6399.00,Pieza
EQ-MSI-1T220-006,Minisplit Inverter Mirage Magnum22 1T 220V Frío-Calor R410A,Equipos HVAC,Minisplits Residenciales,Mirage,Magnum 22 SE,12000 BTU Frío-Calor R410A 22 SEER,1 Ton,220V,R410A,Frío-Calor,22,Magnum 22 Se,Aires Aurum,SETCMC121V,10629.00,Pieza
EQ-MSI-2T220-004,Minisplit Inverter Mirage X32 2T 220V Solo Frío R32,Equipos HVAC,Minisplits Residenciales,Mirage,Inverter X32,24000 BTU Solo Frío R32 17 SEER,2 Ton,220V,R32,Solo Frío,17,Equivale a SETCWF261E,Aires Aurum,SETCWF261E,11499.00,Pieza
EQ-MSI-3T220-002,Minisplit Inverter Mirage Inv17 3T 220V Frío-Calor R410A,Equipos HVAC,Minisplits Comerciales,Mirage,Inverter 17,36000 BTU Frío-Calor R410A 17 SEER,3 Ton,220V,R410A,Frío-Calor,17,Inv17 Frio Calor,Aires Aurum,SETCWC361C,22999.00,Pieza
EQ-VEN-0.5T110-001,Aire de Ventana Mirage 0.5T 110V Solo Frío,Equipos HVAC,Aires de Ventana,Mirage,Ventana,5000 BTU Solo Frío R410A,0.5 Ton,110V,R410A,Solo Frío,,5000 BTU Ventana,Aires Aurum,MACC0511N,3399.00,Pieza
EQ-MSI-1.5T220-009,Minisplit Inverter Mirage Magnum22 1.5T 220V Solo Frío R410A,Equipos HVAC,Minisplits Residenciales,Mirage,Magnum 22,18000 BTU Solo Frío R410A 22 SEER,1.5 Ton,220V,R410A,Solo Frío,22,Magnum 22 1.5 Ton,Aires Aurum,SETCMF181V,11799.00,Pieza
EQ-MSI-1.5T220-010,Minisplit Inverter Mirage X32 1.5T 220V Frío-Calor R32,Equipos HVAC,Minisplits Residenciales,Mirage,Inverter X32,18000 BTU Frío-Calor R32 17 SEER,1.5 Ton,220V,R32,Frío-Calor,17,X32 Frio Calor,Aires Aurum,SETCWC181E,9499.00,Pieza
EQ-MSI-2T220-005,Minisplit Inverter Mirage Magnum22 2T 220V Frío-Calor R410A,Equipos HVAC,Minisplits Residenciales,Mirage,Magnum 22,24000 BTU Frío-Calor R410A 22 SEER,2 Ton,220V,R410A,Frío-Calor,22,Magnum 22 2 Ton Frio Calor,Aires Aurum,SETCMC261V,17349.00,Pieza
EQ-VEN-1.5T220-001,Aire de Ventana Mirage 1.5T 220V Solo Frío,Equipos HVAC,Aires de Ventana,Mirage,Ventana,18000 BTU Solo Frío R410A,1.5 Ton,220V,R410A,Solo Frío,,18000 BTU Ventana,Aires Aurum,MACC1821N,7799.00,Pieza
EQ-MSI-1.5T220-011,Minisplit Inverter Mirage X32 1.5T 220V Solo Frío R32,Equipos HVAC,Minisplits Residenciales,Mirage,Inverter X32,18000 BTU Solo Frío R32 17 SEER,1.5 Ton,220V,R32,Solo Frío,17,X32 Solo Frio,Aires Aurum,SETCWF181E,8599.00,Pieza
EQ-MSI-2T220-006,Minisplit Inverter Mirage V32 2T 220V Frío-Calor R32,Equipos HVAC,Minisplits Residenciales,Mirage,Inverter V32,24000 BTU Frío-Calor R32 17 SEER,2 Ton,220V,R32,Frío-Calor,17,V32 Frio Calor,Aires Aurum,SETCVC261E,11998.00,Pieza
EQ-MSO-1.5T220-004,Minisplit On-Off Mirage NEX 1.5T 220V Frío-Calor R410A,Equipos HVAC,Minisplits Residenciales,Mirage,NEX,18000 BTU Frío-Calor R410A 12 SEER,1.5 Ton,220V,R410A,Frío-Calor,12,Nex Frio Calor,Aires Aurum,SETCHC181T,7799.00,Pieza
EQ-MSO-1T220-003,Minisplit On-Off Mirage XLife 1T 220V Solo Frío R410A,Equipos HVAC,Minisplits Residenciales,Mirage,X Life,12000 BTU Solo Frío R410A 12 SEER,1 Ton,220V,R410A,Solo Frío,12,X Life Solo Frio,Aires Aurum,SETCLF121H,4999.00,Pieza
EQ-MSI-1T220-007,Minisplit Inverter Mirage X 1T 220V Solo Frío R32,Equipos HVAC,Minisplits Residenciales,Mirage,Inverter X,12000 BTU Solo Frío R32 18.5 SEER,1 Ton,220V,R32,Solo Frío,18.5,Inverter X R32,Aires Aurum,SETCMF121J,5999.00,Pieza
EQ-MSI-1T110-003,Minisplit Inverter Mirage X 1T 110V Solo Frío R32,Equipos HVAC,Minisplits Residenciales,Mirage,Inverter X,12000 BTU Solo Frío R32 18.5 SEER,1 Ton,110V,R32,Solo Frío,18.5,Inverter X 110V R32,Aires Aurum,SETCMF120J,6199.00,Pieza
EQ-VEN-0.75T110-001,Aire de Ventana Mirage 0.75T 110V Solo Frío,Equipos HVAC,Aires de Ventana,Mirage,Ventana,8000 BTU Solo Frío R410A,0.75 Ton,110V,R410A,Solo Frío,,8000 BTU Ventana,Aires Aurum,MACC0811N,4299.00,Pieza
EQ-POR-1T110-003,Aire Portátil Mirage X-One 1T 110V Frío-Calor 14000BTU,Equipos HVAC,Aires Portátiles,Mirage,X-One,14000 BTU Frío-Calor R410A,1 Ton,110V,R410A,Frío-Calor,,Portátil X-One 14K,Aires Aurum,MAPS1411H,9499.00,Pieza
EQ-MSI-1T110-004,Minisplit Inverter Mirage V32 1T 110V Frío-Calor R32,Equipos HVAC,Minisplits Residenciales,Mirage,Inverter V32,12000 BTU Frío-Calor R32 17 SEER,1 Ton,110V,R32,Frío-Calor,17,V32 110V Frio Calor,Aires Aurum,SETCVC120E,6199.00,Pieza
EQ-MSI-2T220-007,Minisplit Inverter Mirage X 2T 220V Solo Frío R32,Equipos HVAC,Minisplits Residenciales,Mirage,Inverter X,24000 BTU Solo Frío R32 18.5 SEER,2 Ton,220V,R32,Solo Frío,18.5,Magnum X 2 Ton,Aires Aurum,SETCMF261J,18499.00,Pieza
EQ-MSO-1T220-004,Minisplit On-Off Mirage XLife 1T 220V Frío-Calor R410A,Equipos HVAC,Minisplits Residenciales,Mirage,X Life,12000 BTU Frío-Calor R410A 12 SEER,1 Ton,220V,R410A,Frío-Calor,12,X Life Frio Calor,Aires Aurum,SETCLC121H,5199.00,Pieza
EQ-MSI-1T110-005,Minisplit Inverter Mirage X32 1T 110V Frío-Calor R32,Equipos HVAC,Minisplits Residenciales,Mirage,Inverter X32,12000 BTU Frío-Calor R32 17 SEER,1 Ton,110V,R32,Frío-Calor,17,X32 110V Frio Calor,Aires Aurum,SETCWC120E,6399.00,Pieza
EQ-MSO-1.5T220-005,Minisplit On-Off Mirage XLife 1.5T 220V Solo Frío R410A,Equipos HVAC,Minisplits Residenciales,Mirage,X Life,18000 BTU Solo Frío R410A 12 SEER,1.5 Ton,220V,R410A,Solo Frío,12,X Life 1.5 Ton,Aires Aurum,SETCLF181H,8399.00,Pieza
EQ-MSI-1T220-008,Minisplit Inverter Mirage X32 1T 220V Solo Frío R32,Equipos HVAC,Minisplits Residenciales,Mirage,Inverter X32,12000 BTU Solo Frío R32 17 SEER,1 Ton,220V,R32,Solo Frío,17,X32 220V Solo Frio,Aires Aurum,SETCWF121E,5799.00,Pieza
EQ-MSO-2T220-005,Minisplit On-Off Mirage NEX 2T 220V Solo Frío R410A,Equipos HVAC,Minisplits Residenciales,Mirage,NEX,24000 BTU Solo Frío R410A 12 SEER,2 Ton,220V,R410A,Solo Frío,12,Nex 2 Ton,Aires Aurum,SETCHF261T,9499.00,Pieza
EQ-MSO-2T220-006,Minisplit On-Off Mirage Life12 2T 220V Solo Frío R410A,Equipos HVAC,Minisplits Residenciales,Mirage,Life 12,24000 BTU Solo Frío R410A 12 SEER,2 Ton,220V,R410A,Solo Frío,12,Life 12 2 Ton,Aires Aurum,SETCLF261T,10999.00,Pieza
EQ-MSI-1.5T220-010,Minisplit Inverter Mirage X32 1.5T 220V Frío-Calor R32,Equipos HVAC,Minisplits Residenciales,Mirage,Inverter X32,18000 BTU Frío-Calor R32 17 SEER,1.5 Ton,220V,R32,Frío-Calor,17,X32 Frio Calor,Aires Aurum,SETCWC181E,9499.00,Pieza
EQ-MSI-1T220-005,Minisplit Inverter Mirage X 1T 220V Frío-Calor R32,Equipos HVAC,Minisplits Residenciales,Mirage,Inverter X,12000 BTU Frío-Calor R32 16.5 SEER,1 Ton,220V,R32,Frío-Calor,16.5,Equivale a SETCMC121J,Aires Aurum,SETCMC121J,6399.00,Pieza
EQ-MSO-1.5T220-005,Minisplit On-Off Mirage XLife 1.5T 220V Solo Frío R410A,Equipos HVAC,Minisplits Residenciales,Mirage,X Life,18000 BTU Solo Frío R410A 12 SEER,1.5 Ton,220V,R410A,Solo Frío,12,X Life 1.5 Ton,Aires Aurum,SETCLF181H,8099.00,Pieza
EQ-DIV-4T220-001,Juego Dividido York 4T 220V Solo Frío R410A,Equipos HVAC,Equipos Paquete,York,Americano,Juego Dividido 4Tr Solo Frío R410A 13 SEER,4 Ton,220V,R410A,Solo Frío,13,Juego Dividido Tipo Americano 4Tr S-F,Grupo Coresa,COR-181029-00000702,35762.08,Pieza
EQ-DIV-4T220-001,Juego Dividido York 4T 220V Solo Frío R410A,Equipos HVAC,Equipos Paquete,York,Americano,Juego Dividido 4Tr Solo Frío R410A 13 SEER,4 Ton,220V,R410A,Solo Frío,13,Juego Dividido Tipo Americano 4Tr S-F,Grupo Coresa,COR-181029-00000702,35762.08,Pieza
EQ-MSO-1T110-004,Minisplit On-Off York 1T 110V Frío-Calor R410A,Equipos HVAC,Minisplits Residenciales,York,High Wall,12000 BTU Frío-Calor R410A 11 SEER,1 Ton,110V,R410A,Frío-Calor,11,Minisplit High Wall 1Tr Frío/Calor 110V,Grupo Coresa,COR-181029-00001091,5081.12,Pieza
EQ-MSO-1T110-004,Minisplit On-Off York 1T 110V Frío-Calor R410A,Equipos HVAC,Minisplits Residenciales,York,High Wall,12000 BTU Frío-Calor R410A 11 SEER,1 Ton,110V,R410A,Frío-Calor,11,Minisplit High Wall 1Tr Frío/Calor 110V,Grupo Coresa,COR-181029-00001091,5081.12,Pieza
EQ-DIV-5T220-001,Juego Dividido York 5T 220V Solo Frío R410A,Equipos HVAC,Equipos Paquete,York,Americano,Juego Dividido 5Tr Solo Frío R410A 13 SEER,5 Ton,220V,R410A,Solo Frío,13,Juego Dividido Tipo Americano 5Tr S-F,Grupo Coresa,COR-181029-00001702,41615.92,Pieza
EQ-DIV-5T220-001,Juego Dividido York 5T 220V Solo Frío R410A,Equipos HVAC,Equipos Paquete,York,Americano,Juego Dividido 5Tr Solo Frío R410A 13 SEER,5 Ton,220V,R410A,Solo Frío,13,Juego Dividido Tipo Americano 5Tr S-F,Grupo Coresa,COR-181029-00001702,41615.92,Pieza
EQ-PAQ-25T220-001,Paquete Comercial York 25T 220V Solo Frío R410A,Equipos HVAC,Equipos Paquete,York,Predator,Paquete 25Tr Solo Frío R410A 10 EER,25 Ton,220V,R410A,Solo Frío,,Paquete Comercial York 25Tr S-F,Grupo Coresa,COR-181029-00002012,347199.30,Pieza
EQ-PAQ-25T220-001,Paquete Comercial York 25T 220V Solo Frío R410A,Equipos HVAC,Equipos Paquete,York,Predator,Paquete 25Tr Solo Frío R410A 10 EER,25 Ton,220V,R410A,Solo Frío,,Paquete Comercial York 25Tr S-F,Grupo Coresa,COR-181029-00002012,347199.30,Pieza
EQ-DIV-3T220-001,Juego Dividido York 3T 220V Frío-Calor R410A,Equipos HVAC,Equipos Paquete,York,Americano,Juego Dividido 3Tr Frío-Calor R410A 13 SEER,3 Ton,220V,R410A,Frío-Calor,13,Juego Dividido Tipo Americano 3Tr F/C,Grupo Coresa,COR-181029-00004702,49361.45,Pieza
EQ-DIV-3T220-001,Juego Dividido York 3T 220V Frío-Calor R410A,Equipos HVAC,Equipos Paquete,York,Americano,Juego Dividido 3Tr Frío-Calor R410A 13 SEER,3 Ton,220V,R410A,Frío-Calor,13,Juego Dividido Tipo Americano 3Tr F/C,Grupo Coresa,COR-181029-00004702,49361.45,Pieza
EQ-FAN-3T120-001,Fan&Coil York 3T 120V Solo Frío,Equipos HVAC,Fan & Coil,York,Agua Helada,Fan&Coil 3Tr Solo Frío Agua Helada 120V,3 Ton,120V,,Solo Frío,,Fan&Coil de Agua Helada 3Tr S-F,Grupo Coresa,COR-181029-00005302,14422.62,Pieza
EQ-FAN-3T120-001,Fan&Coil York 3T 120V Solo Frío,Equipos HVAC,Fan & Coil,York,Agua Helada,Fan&Coil 3Tr Solo Frío Agua Helada 120V,3 Ton,120V,,Solo Frío,,Fan&Coil de Agua Helada 3Tr S-F,Grupo Coresa,COR-181029-00005302,14422.62,Pieza
EQ-PAQ-3T220-001,Paquete Residencial York 3T 220V Frío-Calor R410A,Equipos HVAC,Equipos Paquete,York,Sunline,Paquete 3Tr Frío-Calor R410A 14 SEER,3 Ton,220V,R410A,Frío-Calor,14,Paquete Residencial 3Tr F/C,Grupo Coresa,COR-181029-00005602,33887.92,Pieza
EQ-PAQ-3T220-001,Paquete Residencial York 3T 220V Frío-Calor R410A,Equipos HVAC,Equipos Paquete,York,Sunline,Paquete 3Tr Frío-Calor R410A 14 SEER,3 Ton,220V,R410A,Frío-Calor,14,Paquete Residencial 3Tr F/C,Grupo Coresa,COR-181029-00005602,33887.92,Pieza
EQ-PAQ-4T220-002,Paquete Residencial York 4T 220V Frío-Calor R410A,Equipos HVAC,Equipos Paquete,York,Sunline,Paquete 4Tr Frío-Calor R410A 14 SEER,4 Ton,220V,R410A,Frío-Calor,14,Paquete Residencial 4Tr F/C,Grupo Coresa,COR-181029-00006602,47265.95,Pieza
EQ-PAQ-4T220-002,Paquete Residencial York 4T 220V Frío-Calor R410A,Equipos HVAC,Equipos Paquete,York,Sunline,Paquete 4Tr Frío-Calor R410A 14 SEER,4 Ton,220V,R410A,Frío-Calor,14,Paquete Residencial 4Tr F/C,Grupo Coresa,COR-181029-00006602,47265.95,Pieza
EQ-PIT-1.5T230-001,Piso Techo York 1.5T 230V Solo Frío,Equipos HVAC,Piso-Techo,York,Solo Frio,Evaporadora Piso Techo 1.5Tr Solo Frío,1.5 Ton,230V,,Solo Frío,,Evaporadora Piso Techo 1.5Tr S-F,Grupo Coresa,COR-181029-00006802,1580.70,Pieza
EQ-PIT-1.5T230-001,Piso Techo York 1.5T 230V Solo Frío,Equipos HVAC,Piso-Techo,York,Solo Frio,Evaporadora Piso Techo 1.5Tr Solo Frío,1.5 Ton,230V,,Solo Frío,,Evaporadora Piso Techo 1.5Tr S-F,Grupo Coresa,COR-181029-00006802,1580.70,Pieza
EQ-MSO-1T220-005,Minisplit On-Off York 1T 220V Frío-Calor R410A 11.3SEER,Equipos HVAC,Minisplits Residenciales,York,High Wall,12000 BTU Frío-Calor R410A 11.3 SEER,1 Ton,220V,R410A,Frío-Calor,11.3,Minisplit High Wall 1Tr F/C 11.3 SEER,Grupo Coresa,COR-181029-00007912,4701.90,Pieza
EQ-MSO-1T220-005,Minisplit On-Off York 1T 220V Frío-Calor R410A 11.3SEER,Equipos HVAC,Minisplits Residenciales,York,High Wall,12000 BTU Frío-Calor R410A 11.3 SEER,1 Ton,220V,R410A,Frío-Calor,11.3,Minisplit High Wall 1Tr F/C 11.3 SEER,Grupo Coresa,COR-181029-00007912,4701.90,Pieza
EQ-MAN-20T220-001,Manejadora York 20T 220V Solo Frío R410A,Equipos HVAC,Manejadoras,York,,Manejadora 20Tr Solo Frío R410A 11 EER Dual,20 Ton,220V,R410A,Solo Frío,,Manejadora 20Tr S-F 11 EER,Grupo Coresa,COR-181029-00007991,107023.80,Pieza
EQ-MAN-20T220-001,Manejadora York 20T 220V Solo Frío R410A,Equipos HVAC,Manejadoras,York,,Manejadora 20Tr Solo Frío R410A 11 EER Dual,20 Ton,220V,R410A,Solo Frío,,Manejadora 20Tr S-F 11 EER,Grupo Coresa,COR-181029-00007991,107023.80,Pieza
EQ-DIV-2T220-001,Juego Dividido York 2T 220V Solo Frío R410A,Equipos HVAC,Equipos Paquete,York,Americano,Juego Dividido 2Tr Solo Frío R410A 13 SEER,2 Ton,220V,R410A,Solo Frío,13,Juego Dividido Tipo Americano 2Tr S-F,Grupo Coresa,COR-181029-00008602,29838.83,Pieza
EQ-DIV-2T220-001,Juego Dividido York 2T 220V Solo Frío R410A,Equipos HVAC,Equipos Paquete,York,Americano,Juego Dividido 2Tr Solo Frío R410A 13 SEER,2 Ton,220V,R410A,Solo Frío,13,Juego Dividido Tipo Americano 2Tr S-F,Grupo Coresa,COR-181029-00008602,29838.83,Pieza
