sku,nombre_estandarizado,grupo_general,grupo_especializado,marca,modelo,descripcion_tecnica,capacidad,voltaje,refrigerante,tipo_operacion,seer,observaciones_equivalencia,proveedor_original,sku_original,precio_referencia,unidad
GR-R600-B50F,Gas Refrigerante Erka R-600 Lata 420G,Gases Refrigerantes,Refrigerantes,Erka,Lata 420G,Gas Refrigerante Erka R-600 Lata 420G,,,R-600,,,Gas Refrigerante Erka R-600 Lata 420G,Grupo Coresa,COR-251008-00019071,215.76,Pieza
LM-GEN-8907,Agente de Limpieza Opteon SF80 Tambor 20.43Kg Sustituye a 141B,Insumos Mantenimiento,Químicos Limpieza,Genérica,,Agente de Limpieza Opteon SF80 Tambor 20.43Kg Sustituye a 141B,,,,,,Agente de Limpieza Opteon SF80 Tambor 20.43Kg Sustituye a 141B,Grupo Coresa,COR-210406-00063721,11687.9,Pieza
LM-GEN-F596,Agente de Limpieza Opteon SF80 Tambor 20.43Kg Sustituye a 141B,Insumos Mantenimiento,Químicos Limpieza,Genérica,,Agente de Limpieza Opteon SF80 Tambor 20.43Kg Sustituye a 141B,,,,,,Agente de Limpieza Opteon SF80 Tambor 20.43Kg Sustituye a 141B,Grupo Coresa,COR-210406-00063721,11687.9,Pieza
GR-R134A-61AA,Gas Refrigerante iGas R-134A Boya 13.6Kg,Gases Refrigerantes,Refrigerantes,iGas,Boya 13.6Kg,Gas Refrigerante iGas R-134A Boya 13.6Kg,,,R-134A,,,Gas Refrigerante iGas R-134A Boya 13.6Kg,Grupo Coresa,COR-230214-00035241,2640.79,Pieza
GR-R134A-1D9A,Gas Refrigerante iGas R-134A Boya 13.6Kg,Gases Refrigerantes,Refrigerantes,iGas,Boya 13.6Kg,Gas Refrigerante iGas R-134A Boya 13.6Kg,,,R-134A,,,Gas Refrigerante iGas R-134A Boya 13.6Kg,Grupo Coresa,COR-230214-00035241,2640.79,Pieza
GR-R410A-E2F0,Gas Refrigerante iGas R-410A Boya 11.35Kg,Gases Refrigerantes,Refrigerantes,iGas,Boya 11.35Kg,Gas Refrigerante iGas R-410A Boya 11.35Kg,,,R-410A,,,Gas Refrigerante iGas R-410A Boya 11.35Kg,Grupo Coresa,COR-230214-00065241,2618.07,Pieza
GR-R410A-10A9,Gas Refrigerante iGas R-410A Boya 11.35Kg,Gases Refrigerantes,Refrigerantes,iGas,Boya 11.35Kg,Gas Refrigerante iGas R-410A Boya 11.35Kg,,,R-410A,,,Gas Refrigerante iGas R-410A Boya 11.35Kg,Grupo Coresa,COR-230214-00065241,2618.07,Pieza
GR-R507-BB33,Gas Refrigerante iGas R-507 Boya 11.35Kg,Gases Refrigerantes,Refrigerantes,iGas,Boya 11.35Kg,Gas Refrigerante iGas R-507 Boya 11.35Kg,,,R-507,,,Gas Refrigerante iGas R-507 Boya 11.35Kg,Grupo Coresa,COR-230214-00075241,2387.06,Pieza
GR-R507-43BA,Gas Refrigerante iGas R-507 Boya 11.35Kg,Gases Refrigerantes,Refrigerantes,iGas,Boya 11.35Kg,Gas Refrigerante iGas R-507 Boya 11.35Kg,,,R-507,,,Gas Refrigerante iGas R-507 Boya 11.35Kg,Grupo Coresa,COR-230214-00075241,2387.06,Pieza
TMP-BC583322,Gas Refrigerante iGefrieren G-FLUSH Lata 800Gr,Gases Refrigerantes,Refrigerantes,Genérica,,Gas Refrigerante iGefrieren G-FLUSH Lata 800Gr,,,,,,Gas Refrigerante iGefrieren G-FLUSH Lata 800Gr,Grupo Coresa,COR-240423-00098651,343.43,Pieza
TMP-258730D7,Gas Refrigerante iGefrieren G-FLUSH Lata 800Gr,Gases Refrigerantes,Refrigerantes,Genérica,,Gas Refrigerante iGefrieren G-FLUSH Lata 800Gr,,,,,,Gas Refrigerante iGefrieren G-FLUSH Lata 800Gr,Grupo Coresa,COR-240423-00098651,343.43,Pieza
AC-AIS-9847,Aislamiento Térmico K-Flex 6RXLO048318 3 1/8 X 1/2 Abierto,Accesorios e Insumos,Aislamiento,Genérica,,Aislamiento Térmico K-Flex 6RXLO048318 3 1/8 X 1/2 Abierto,,,,,,Aislamiento Térmico K-Flex 6RXLO048318 3 1/8 X 1/2 Abierto,Grupo Coresa,COR-181201-00000074,383.23,Pieza
AC-AIS-1483,Aislamiento Térmico K-Flex 6RXLO048318 3 1/8 X 1/2 Abierto,Accesorios e Insumos,Aislamiento,Genérica,,Aislamiento Térmico K-Flex 6RXLO048318 3 1/8 X 1/2 Abierto,,,,,,Aislamiento Térmico K-Flex 6RXLO048318 3 1/8 X 1/2 Abierto,Grupo Coresa,COR-181201-00000074,383.23,Pieza
AC-AIS-F115,Aislamiento Térmico K-Flex 6RX038048 1/2 X 3/8,Accesorios e Insumos,Aislamiento,Genérica,,Aislamiento Térmico K-Flex 6RX038048 1/2 X 3/8,,,,,,Aislamiento Térmico K-Flex 6RX038048 1/2 X 3/8,Grupo Coresa,COR-181201-00000464,32.45,Pieza
AC-AIS-D102,Aislamiento Térmico K-Flex 6RX038048 1/2 X 3/8,Accesorios e Insumos,Aislamiento,Genérica,,Aislamiento Térmico K-Flex 6RX038048 1/2 X 3/8,,,,,,Aislamiento Térmico K-Flex 6RX038048 1/2 X 3/8,Grupo Coresa,COR-181201-00000464,32.45,Pieza
AC-AIS-E82A,Aislamiento Térmico K-Flex 6RX038078 7/8 X 3/8,Accesorios e Insumos,Aislamiento,Genérica,,Aislamiento Térmico K-Flex 6RX038078 7/8 X 3/8,,,,,,Aislamiento Térmico K-Flex 6RX038078 7/8 X 3/8,Grupo Coresa,COR-181201-00000564,41.66,Pieza
AC-AIS-A639,Aislamiento Térmico K-Flex 6RX038078 7/8 X 3/8,Accesorios e Insumos,Aislamiento,Genérica,,Aislamiento Térmico K-Flex 6RX038078 7/8 X 3/8,,,,,,Aislamiento Térmico K-Flex 6RX038078 7/8 X 3/8,Grupo Coresa,COR-181201-00000564,41.66,Pieza
AC-AIS-5D76,Aislamiento Térmico K-Flex 6RX100158 1 5/8 X 1,Accesorios e Insumos,Aislamiento,Genérica,,Aislamiento Térmico K-Flex 6RX100158 1 5/8 X 1,,,,,,Aislamiento Térmico K-Flex 6RX100158 1 5/8 X 1,Grupo Coresa,COR-181201-00000664,323.59,Pieza
AC-AIS-6925,Aislamiento Térmico K-Flex 6RX100158 1 5/8 X 1,Accesorios e Insumos,Aislamiento,Genérica,,Aislamiento Térmico K-Flex 6RX100158 1 5/8 X 1,,,,,,Aislamiento Térmico K-Flex 6RX100158 1 5/8 X 1,Grupo Coresa,COR-181201-00000664,323.59,Pieza
AC-AIS-58F8,Aislamiento Térmico K-Flex 6RX068258 2 5/8 X 3/4,Accesorios e Insumos,Aislamiento,Genérica,,Aislamiento Térmico K-Flex 6RX068258 2 5/8 X 3/4,,,,,,Aislamiento Térmico K-Flex 6RX068258 2 5/8 X 3/4,Grupo Coresa,COR-181201-00000764,304.74,Pieza
AC-AIS-CA57,Aislamiento Térmico K-Flex 6RX068258 2 5/8 X 3/4,Accesorios e Insumos,Aislamiento,Genérica,,Aislamiento Térmico K-Flex 6RX068258 2 5/8 X 3/4,,,,,,Aislamiento Térmico K-Flex 6RX068258 2 5/8 X 3/4,Grupo Coresa,COR-181201-00000764,304.74,Pieza
AC-AIS-D9DA,Aislamiento Térmico K-Flex 6RXL038118 1 1/8 X 3/8 Abierto,Accesorios e Insumos,Aislamiento,Genérica,,Aislamiento Térmico K-Flex 6RXL038118 1 1/8 X 3/8 Abierto,,,,,,Aislamiento Térmico K-Flex 6RXL038118 1 1/8 X 3/8 Abierto,Grupo Coresa,COR-181201-00000964,93.83,Pieza
AC-AIS-9AEA,Aislamiento Térmico K-Flex 6RXL038118 1 1/8 X 3/8 Abierto,Accesorios e Insumos,Aislamiento,Genérica,,Aislamiento Térmico K-Flex 6RXL038118 1 1/8 X 3/8 Abierto,,,,,,Aislamiento Térmico K-Flex 6RXL038118 1 1/8 X 3/8 Abierto,Grupo Coresa,COR-181201-00000964,93.83,Pieza
AC-AIS-F77C,Aislamiento Térmico K-Flex 6RX100118 1 1/8 X 1,Accesorios e Insumos,Aislamiento,Genérica,,Aislamiento Térmico K-Flex 6RX100118 1 1/8 X 1,,,,,,Aislamiento Térmico K-Flex 6RX100118 1 1/8 X 1,Grupo Coresa,COR-181201-00001564,239.19,Pieza
AC-AIS-B586,Aislamiento Térmico K-Flex 6RX100118 1 1/8 X 1,Accesorios e Insumos,Aislamiento,Genérica,,Aislamiento Térmico K-Flex 6RX100118 1 1/8 X 1,,,,,,Aislamiento Térmico K-Flex 6RX100118 1 1/8 X 1,Grupo Coresa,COR-181201-00001564,239.19,Pieza
AC-AIS-D726,Aislamiento Térmico K-Flex 6RX048158 1 5/8 X 1/2,Accesorios e Insumos,Aislamiento,Genérica,,Aislamiento Térmico K-Flex 6RX048158 1 5/8 X 1/2,,,,,,Aislamiento Térmico K-Flex 6RX048158 1 5/8 X 1/2,Grupo Coresa,COR-181201-00001664,90.33,Pieza
AC-AIS-4814,Aislamiento Térmico K-Flex 6RX048158 1 5/8 X 1/2,Accesorios e Insumos,Aislamiento,Genérica,,Aislamiento Térmico K-Flex 6RX048158 1 5/8 X 1/2,,,,,,Aislamiento Térmico K-Flex 6RX048158 1 5/8 X 1/2,Grupo Coresa,COR-181201-00001664,90.33,Pieza
AC-AIS-166C,Aislamiento Térmico K-Flex 6RX038258 2 5/8 X 3/8,Accesorios e Insumos,Aislamiento,Genérica,,Aislamiento Térmico K-Flex 6RX038258 2 5/8 X 3/8,,,,,,Aislamiento Térmico K-Flex 6RX038258 2 5/8 X 3/8,Grupo Coresa,COR-181201-00001764,128.69,Pieza
AC-AIS-B326,Aislamiento Térmico K-Flex 6RX038258 2 5/8 X 3/8,Accesorios e Insumos,Aislamiento,Genérica,,Aislamiento Térmico K-Flex 6RX038258 2 5/8 X 3/8,,,,,,Aislamiento Térmico K-Flex 6RX038258 2 5/8 X 3/8,Grupo Coresa,COR-181201-00001764,128.69,Pieza
AC-AIS-F156,Aislamiento Térmico K-Flex 6RXLO048038 3/8 X 1/2 Abierto,Accesorios e Insumos,Aislamiento,Genérica,,Aislamiento Térmico K-Flex 6RXLO048038 3/8 X 1/2 Abierto,,,,,,Aislamiento Térmico K-Flex 6RXLO048038 3/8 X 1/2 Abierto,Grupo Coresa,COR-181201-00001864,82.43,Pieza
AC-AIS-C33E,Aislamiento Térmico K-Flex 6RXLO048038 3/8 X 1/2 Abierto,Accesorios e Insumos,Aislamiento,Genérica,,Aislamiento Térmico K-Flex 6RXLO048038 3/8 X 1/2 Abierto,,,,,,Aislamiento Térmico K-Flex 6RXLO048038 3/8 X 1/2 Abierto,Grupo Coresa,COR-181201-00001864,82.43,Pieza
AC-AIS-F03A,Aislamiento Térmico K-Flex 6RXLO048138 1 3/8 X 1/2 Abierto,Accesorios e Insumos,Aislamiento,Genérica,,Aislamiento Térmico K-Flex 6RXLO048138 1 3/8 X 1/2 Abierto,,,,,,Aislamiento Térmico K-Flex 6RXLO048138 1 3/8 X 1/2 Abierto,Grupo Coresa,COR-181201-00001964,138.09,Pieza
AC-AIS-3EC2,Aislamiento Térmico K-Flex 6RXLO048138 1 3/8 X 1/2 Abierto,Accesorios e Insumos,Aislamiento,Genérica,,Aislamiento Térmico K-Flex 6RXLO048138 1 3/8 X 1/2 Abierto,,,,,,Aislamiento Térmico K-Flex 6RXLO048138 1 3/8 X 1/2 Abierto,Grupo Coresa,COR-181201-00001964,138.09,Pieza
AC-AIS-609D,Placa K-Flex 6RSX3X4100,Accesorios e Insumos,Aislamiento,Genérica,,Placa K-Flex 6RSX3X4100,,,,,,Placa K-Flex 6RSX3X4100,Grupo Coresa,COR-181201-00002074,525.14,Pieza
AC-AIS-1545,Placa K-Flex 6RSX3X4100,Accesorios e Insumos,Aislamiento,Genérica,,Placa K-Flex 6RSX3X4100,,,,,,Placa K-Flex 6RSX3X4100,Grupo Coresa,COR-181201-00002074,525.14,Pieza
AC-AIS-2958,Aislamiento Térmico K-Flex 6RX100058 5/8 X 1,Accesorios e Insumos,Aislamiento,Genérica,,Aislamiento Térmico K-Flex 6RX100058 5/8 X 1,,,,,,Aislamiento Térmico K-Flex 6RX100058 5/8 X 1,Grupo Coresa,COR-181201-00002464,163.12,Pieza
AC-AIS-E010,Aislamiento Térmico K-Flex 6RX100058 5/8 X 1,Accesorios e Insumos,Aislamiento,Genérica,,Aislamiento Térmico K-Flex 6RX100058 5/8 X 1,,,,,,Aislamiento Térmico K-Flex 6RX100058 5/8 X 1,Grupo Coresa,COR-181201-00002464,163.12,Pieza
AC-AIS-9B3B,Aislamiento Térmico K-Flex 6RX048118 1 1/8 X 1/2,Accesorios e Insumos,Aislamiento,Genérica,,Aislamiento Térmico K-Flex 6RX048118 1 1/8 X 1/2,,,,,,Aislamiento Térmico K-Flex 6RX048118 1 1/8 X 1/2,Grupo Coresa,COR-181201-00002564,70.6,Pieza
AC-AIS-B961,Aislamiento Térmico K-Flex 6RX048118 1 1/8 X 1/2,Accesorios e Insumos,Aislamiento,Genérica,,Aislamiento Térmico K-Flex 6RX048118 1 1/8 X 1/2,,,,,,Aislamiento Térmico K-Flex 6RX048118 1 1/8 X 1/2,Grupo Coresa,COR-181201-00002564,70.6,Pieza
AC-AIS-90D8,Aislamiento Térmico K-Flex 6RX068158 1 5/8 X 3/4,Accesorios e Insumos,Aislamiento,Genérica,,Aislamiento Térmico K-Flex 6RX068158 1 5/8 X 3/4,,,,,,Aislamiento Térmico K-Flex 6RX068158 1 5/8 X 3/4,Grupo Coresa,COR-181201-00002664,195.34,Pieza
AC-AIS-01A1,Aislamiento Térmico K-Flex 6RX068158 1 5/8 X 3/4,Accesorios e Insumos,Aislamiento,Genérica,,Aislamiento Térmico K-Flex 6RX068158 1 5/8 X 3/4,,,,,,Aislamiento Térmico K-Flex 6RX068158 1 5/8 X 3/4,Grupo Coresa,COR-181201-00002664,195.34,Pieza
AC-AIS-17D7,Aislamiento Térmico K-Flex 6RX100318 3 1/8 X 1,Accesorios e Insumos,Aislamiento,Genérica,,Aislamiento Térmico K-Flex 6RX100318 3 1/8 X 1,,,,,,Aislamiento Térmico K-Flex 6RX100318 3 1/8 X 1,Grupo Coresa,COR-181201-00002764,481.42,Pieza
AC-AIS-98E8,Aislamiento Térmico K-Flex 6RX100318 3 1/8 X 1,Accesorios e Insumos,Aislamiento,Genérica,,Aislamiento Térmico K-Flex 6RX100318 3 1/8 X 1,,,,,,Aislamiento Térmico K-Flex 6RX100318 3 1/8 X 1,Grupo Coresa,COR-181201-00002764,481.42,Pieza
AC-AIS-2638,Aislamiento Térmico K-Flex 6RXLO048048 1/2 X 1/2 Abierto,Accesorios e Insumos,Aislamiento,Genérica,,Aislamiento Térmico K-Flex 6RXLO048048 1/2 X 1/2 Abierto,,,,,,Aislamiento Térmico K-Flex 6RXLO048048 1/2 X 1/2 Abierto,Grupo Coresa,COR-181201-00002864,92.96,Pieza
AC-AIS-1B48,Aislamiento Térmico K-Flex 6RXLO048048 1/2 X 1/2 Abierto,Accesorios e Insumos,Aislamiento,Genérica,,Aislamiento Térmico K-Flex 6RXLO048048 1/2 X 1/2 Abierto,,,,,,Aislamiento Térmico K-Flex 6RXLO048048 1/2 X 1/2 Abierto,Grupo Coresa,COR-181201-00002864,92.96,Pieza
AC-AIS-6175,Aislamiento Térmico K-Flex 6RXL038138 1 3/8 X 3/8 Abierto,Accesorios e Insumos,Aislamiento,Genérica,,Aislamiento Térmico K-Flex 6RXL038138 1 3/8 X 3/8 Abierto,,,,,,Aislamiento Térmico K-Flex 6RXL038138 1 3/8 X 3/8 Abierto,Grupo Coresa,COR-181201-00002964,77.65,Pieza
AC-AIS-0C4B,Aislamiento Térmico K-Flex 6RXL038138 1 3/8 X 3/8 Abierto,Accesorios e Insumos,Aislamiento,Genérica,,Aislamiento Térmico K-Flex 6RXL038138 1 3/8 X 3/8 Abierto,,,,,,Aislamiento Térmico K-Flex 6RXL038138 1 3/8 X 3/8 Abierto,Grupo Coresa,COR-181201-00002964,77.65,Pieza
AC-AIS-CF4F,Placa K-Flex 6RSX3X4148,Accesorios e Insumos,Aislamiento,Genérica,,Placa K-Flex 6RSX3X4148,,,,,,Placa K-Flex 6RSX3X4148,Grupo Coresa,COR-181201-00003074,730.51,Pieza
AC-AIS-75EB,Placa K-Flex 6RSX3X4148,Accesorios e Insumos,Aislamiento,Genérica,,Placa K-Flex 6RSX3X4148,,,,,,Placa K-Flex 6RSX3X4148,Grupo Coresa,COR-181201-00003074,730.51,Pieza
AC-AIS-49C3,Aislamiento Térmico K-Flex 6RX048058 5/8 X 1/2,Accesorios e Insumos,Aislamiento,Genérica,,Aislamiento Térmico K-Flex 6RX048058 5/8 X 1/2,,,,,,Aislamiento Térmico K-Flex 6RX048058 5/8 X 1/2,Grupo Coresa,COR-181201-00003464,56.56,Pieza
AC-AIS-CABD,Aislamiento Térmico K-Flex 6RX048058 5/8 X 1/2,Accesorios e Insumos,Aislamiento,Genérica,,Aislamiento Térmico K-Flex 6RX048058 5/8 X 1/2,,,,,,Aislamiento Térmico K-Flex 6RX048058 5/8 X 1/2,Grupo Coresa,COR-181201-00003464,56.56,Pieza
AC-AIS-C588,Aislamiento Térmico K-Flex 6RX068118 1 1/8 X 3/4,Accesorios e Insumos,Aislamiento,Genérica,,Aislamiento Térmico K-Flex 6RX068118 1 1/8 X 3/4,,,,,,Aislamiento Térmico K-Flex 6RX068118 1 1/8 X 3/4,Grupo Coresa,COR-181201-00003564,123.66,Pieza
AC-AIS-51D2,Aislamiento Térmico K-Flex 6RX068118 1 1/8 X 3/4,Accesorios e Insumos,Aislamiento,Genérica,,Aislamiento Térmico K-Flex 6RX068118 1 1/8 X 3/4,,,,,,Aislamiento Térmico K-Flex 6RX068118 1 1/8 X 3/4,Grupo Coresa,COR-181201-00003564,123.66,Pieza
AC-AIS-82BB,Aislamiento Térmico K-Flex 6RX038158 1 5/8 X 3/8,Accesorios e Insumos,Aislamiento,Genérica,,Aislamiento Térmico K-Flex 6RX038158 1 5/8 X 3/8,,,,,,Aislamiento Térmico K-Flex 6RX038158 1 5/8 X 3/8,Grupo Coresa,COR-181201-00003664,66.87,Pieza
AC-AIS-6C62,Aislamiento Térmico K-Flex 6RX038158 1 5/8 X 3/8,Accesorios e Insumos,Aislamiento,Genérica,,Aislamiento Térmico K-Flex 6RX038158 1 5/8 X 3/8,,,,,,Aislamiento Térmico K-Flex 6RX038158 1 5/8 X 3/8,Grupo Coresa,COR-181201-00003664,66.87,Pieza
AC-AIS-F3B2,Aislamiento Térmico K-Flex 6RX048318 3 1/8 X 1/2,Accesorios e Insumos,Aislamiento,Genérica,,Aislamiento Térmico K-Flex 6RX048318 3 1/8 X 1/2,,,,,,Aislamiento Térmico K-Flex 6RX048318 3 1/8 X 1/2,Grupo Coresa,COR-181201-00003764,164.37,Pieza
AC-AIS-03C4,Aislamiento Térmico K-Flex 6RX048318 3 1/8 X 1/2,Accesorios e Insumos,Aislamiento,Genérica,,Aislamiento Térmico K-Flex 6RX048318 3 1/8 X 1/2,,,,,,Aislamiento Térmico K-Flex 6RX048318 3 1/8 X 1/2,Grupo Coresa,COR-181201-00003764,164.37,Pieza
AC-AIS-F3F7,Aislamiento Térmico K-Flex 6RXLO048058 5/8 X 1/2 Abierto,Accesorios e Insumos,Aislamiento,Genérica,,Aislamiento Térmico K-Flex 6RXLO048058 5/8 X 1/2 Abierto,,,,,,Aislamiento Térmico K-Flex 6RXLO048058 5/8 X 1/2 Abierto,Grupo Coresa,COR-181201-00003864,69.68,Pieza
AC-AIS-5906,Aislamiento Térmico K-Flex 6RXLO048058 5/8 X 1/2 Abierto,Accesorios e Insumos,Aislamiento,Genérica,,Aislamiento Térmico K-Flex 6RXLO048058 5/8 X 1/2 Abierto,,,,,,Aislamiento Térmico K-Flex 6RXLO048058 5/8 X 1/2 Abierto,Grupo Coresa,COR-181201-00003864,69.68,Pieza
AC-AIS-A4B8,Aislamiento Térmico K-Flex 6RXLO048158 1 5/8 X 1/2 Abierto,Accesorios e Insumos,Aislamiento,Genérica,,Aislamiento Térmico K-Flex 6RXLO048158 1 5/8 X 1/2 Abierto,,,,,,Aislamiento Térmico K-Flex 6RXLO048158 1 5/8 X 1/2 Abierto,Grupo Coresa,COR-181201-00003964,119.09,Pieza
AC-AIS-07E9,Aislamiento Térmico K-Flex 6RXLO048158 1 5/8 X 1/2 Abierto,Accesorios e Insumos,Aislamiento,Genérica,,Aislamiento Térmico K-Flex 6RXLO048158 1 5/8 X 1/2 Abierto,,,,,,Aislamiento Térmico K-Flex 6RXLO048158 1 5/8 X 1/2 Abierto,Grupo Coresa,COR-181201-00003964,119.09,Pieza
AC-AIS-5835,Placa K-Flex 6RSX3X4028,Accesorios e Insumos,Aislamiento,Genérica,,Placa K-Flex 6RSX3X4028,,,,,,Placa K-Flex 6RSX3X4028,Grupo Coresa,COR-181201-00004074,165.13,Pieza
AC-AIS-21E5,Placa K-Flex 6RSX3X4028,Accesorios e Insumos,Aislamiento,Genérica,,Placa K-Flex 6RSX3X4028,,,,,,Placa K-Flex 6RSX3X4028,Grupo Coresa,COR-181201-00004074,165.13,Pieza
AC-AIS-26AA,Aislamiento Térmico K-Flex 6RX068058 5/8 X 3/4,Accesorios e Insumos,Aislamiento,Genérica,,Aislamiento Térmico K-Flex 6RX068058 5/8 X 3/4,,,,,,Aislamiento Térmico K-Flex 6RX068058 5/8 X 3/4,Grupo Coresa,COR-181201-00004464,87.03,Pieza
AC-AIS-3E0E,Aislamiento Térmico K-Flex 6RX068058 5/8 X 3/4,Accesorios e Insumos,Aislamiento,Genérica,,Aislamiento Térmico K-Flex 6RX068058 5/8 X 3/4,,,,,,Aislamiento Térmico K-Flex 6RX068058 5/8 X 3/4,Grupo Coresa,COR-181201-00004464,87.03,Pieza
AC-AIS-EA6D,Aislamiento Térmico K-Flex 6RX038118 1 1/8 X 3/8,Accesorios e Insumos,Aislamiento,Genérica,,Aislamiento Térmico K-Flex 6RX038118 1 1/8 X 3/8,,,,,,Aislamiento Térmico K-Flex 6RX038118 1 1/8 X 3/8,Grupo Coresa,COR-181201-00004564,47.35,Pieza
AC-AIS-AE8B,Aislamiento Térmico K-Flex 6RX038118 1 1/8 X 3/8,Accesorios e Insumos,Aislamiento,Genérica,,Aislamiento Térmico K-Flex 6RX038118 1 1/8 X 3/8,,,,,,Aislamiento Térmico K-Flex 6RX038118 1 1/8 X 3/8,Grupo Coresa,COR-181201-00004564,47.35,Pieza
AC-AIS-2587,Aislamiento Térmico K-Flex 6RX100218 2 1/8 X 1,Accesorios e Insumos,Aislamiento,Genérica,,Aislamiento Térmico K-Flex 6RX100218 2 1/8 X 1,,,,,,Aislamiento Térmico K-Flex 6RX100218 2 1/8 X 1,Grupo Coresa,COR-181201-00004664,387.17,Pieza
AC-AIS-EDC0,Aislamiento Térmico K-Flex 6RX100218 2 1/8 X 1,Accesorios e Insumos,Aislamiento,Genérica,,Aislamiento Térmico K-Flex 6RX100218 2 1/8 X 1,,,,,,Aislamiento Térmico K-Flex 6RX100218 2 1/8 X 1,Grupo Coresa,COR-181201-00004664,387.17,Pieza
