sku,nombre_estandarizado,grupo_general,grupo_especializado,marca,modelo,descripcion_tecnica,capacidad,voltaje,refrigerante,tipo_operacion,unidad,observaciones_equivalencia
AC-CIN-BAR-002,Cinta PVC Igniretardante Barreto,AC,Instalación,Grupo Barreto,T-18R,Cinta Pvc Para Sistemas De Aire Aire Acondicionado Igniretardante,Standard,N/A,,Aislamiento,Rollo,
AC-EXT-SOL-001,Extractor Centrífugo Tejado Soler&Palau,AC,Ventilación,Soler & Palau,CRHHT-18 S/M,Crhht-18 S/M | Extractor Centrifugador Tejado 5Crhht 180000000,Industrial,N/A,,Extracción,Equipo,
AC-EXT-SOL-002,Extractor Axial Pared Soler&Palau 250mm,AC,Ventilación,Soler & Palau,HXM-250,Extractor Axial De Pared S&P 1/40Hp 830 M3 - 250 Mm,830 m3/h,N/A,,Extracción,Equipo,
AC-EXT-SOL-003,Extractor Pared S&P 900m3/hr,AC,Accesorios,Soler & Palau,900m3/hr,900m3/hr,,,,,Pieza,
AC-EXT-SOL-004,Extractor Pared S&P 400m3/hr,AC,Accesorios,Soler & Palau,400m3/hr,400m3/hr,,,,,Pieza,
AC-FIL-GEN-001,Filtros Bolsa Superficie Extendida 12x24x2,AC,Accesorios,Genérico,12x24x2,12x24x2,,,,,Pieza,
AC-FIL-TER-001,Filtro Bolsa Superficie Extendida 12x24x2,AC,Accesorios,Termochisa,12x24x2,12x24x2,,,,,Pieza,
AC-INS-ERO-001,Kit Conexión Minisplit 3/8-5/8 Cobre,AC,Instalación,Ero International,KTMNCX038_058,Kit de conexión para minisplit bobina de cobre con tuercas 3/8″ – 5/8″,"3/8-5/8""",N/A,,Instalación,Kit,
AC-INS-ERO-002,Kit Conexión Minisplit 1/4-3/8 Cobre,AC,Instalación,Ero International,KTMNCX014_038,Kit de conexión para minisplit bobina de cobre con tuercas 1/4″ – 3/8″,"1/4-3/8""",N/A,,Instalación,Kit,
AC-INS-MIR-001,Kit Instalación Mirage 1/4 x 1/2 Cobre,AC,Accesorios,Mirage,1/4 x 1/2 Cobre,1/4 x 1/2 Cobre,,,,,Pieza,
AC-INS-USA-002,"Kit Instalación Minisplit 3/8"" + 5/8"" USA Tools",AC,Instalación,USA Tools,3/8-5/8,"Kit Instalación Minisplit 3/8"" + Gas 5/8""","3/8-5/8""",N/A,,Instalación,Kit,
AC-INS-USA-003,"Kit Instalación Minisplit 1/4"" + 5/8"" USA Tools",AC,Instalación,USA Tools,1/4-5/8,"Kit Instalación Minisplit 1/4"" + Gas 5/8""","1/4-5/8""",N/A,,Instalación,Kit,
AC-INS-USA-004,"Kit Instalación Minisplit 1/4"" + 1/2"" USA Tools",AC,Instalación,USA Tools,1/4-1/2,"Kit Instalación Minisplit 1/4"" + Gas 1/2""","1/4-1/2""",N/A,,Instalación,Kit,
AC-INS-USA-005,Kit Instalación Minisplit 1/4 y 3/8 USA Tools,AC,Accesorios,USA Tools,1/4 3/8,1/4 3/8,,,,,Pieza,
AC-ROD-GEN-001,"Rodamiento en Rondana de Hule 1/2""",AC,Accesorios,Genérico,766549,"Rodamiento en Rondana de Hule 1/2""","1/2""",N/A,,Instalación,Pieza,
AC-SOP-AVA-001,Base Piso Condensadora Avaly 1-3 Ton,AC,Soportes,Avaly,VA-SUP9-24,Base De Piso Para Condensadora De 1 A 3 Ton Avaly,1-3 Ton,N/A,,Soporte,Pieza,
AC-SOP-AVA-002,Soporte A/C Avaly 18-24k BTU,AC,Soportes,Avaly,VA-BRA18-24,"Soporte Para Aire Acondicionado 450X550X2.0 Mm (18,000-24,000 Btu) Para 200 Kg.",18-24k BTU,N/A,,Soporte,Par,
AC-SOP-AVA-003,Soporte Pared Avaly 420x365mm 120kg,AC,Accesorios,Avaly,420x365mm 120kg,420x365mm 120kg,,,,,Pieza,
AC-SOP-AVA-006,Base Piso Condensadora Avaly 9-24K,AC,Soportes,Avaly,VA-SUP9-24,Base de Piso para Condensadora 9000- 24000Btus,9-24K BTUs,N/A,,Soporte,Pieza,
AC-SOP-AVA-007,Soporte para Minisplit Avaly 9000-12000 BTU,AC,Accesorios,Avaly,9-12k,9-12k,,,,,Pieza,
AC-SOP-COL-009,Base Condensadora Pared Coldtek 100Kg,AC,Soportes,Coldtek,BSCDAA006,Base para Condensadora de Minisplit Acero Galvanizado 100Kgs,100 Kg,N/A,,Soporte,Pieza,
AC-SOP-COL-010,Base Condensadora Pared Coldtek 230Kg,AC,Soportes,Coldtek,BSCDAA001,Base de Pared para Condensadora de Minisplit Acero Galvanizado 230Kgs,230 Kg,N/A,,Soporte,Pieza,
AC-SOP-COL-011,Base Condensadora Pared Coldtek 200Kg,AC,Soportes,Coldtek,BSCDAA002,Base de Pared para Condensadora de Minisplit Acero Galvanizado 200Kgs,200 Kg,N/A,,Soporte,Pieza,
AC-SOP-COL-012,Base Condensadora Piso Coldtek 200Kg,AC,Soportes,Coldtek,BSCDAA003,Base de Suelo para Condensadora de Minisplit 200Kgs,200 Kg,N/A,,Soporte,Pieza,
AC-SOP-USA-002,Soporte Condensadora USA Parts UPCFS80,AC,Soportes,USA Parts,UPCFS80,Soporte Condensadora Base Minisplit,Standard,N/A,,Soporte,Pieza,
AC-SOP-USA-003,Base Minisplit 1 TR USA Parts,AC,Soportes,USA Parts,1 TR,Base Minisplit 1 TR Soporte,1 TR,N/A,,Soporte,Pieza,
AC-SOP-USA-004,Base Minisplit 2 TR USA Parts,AC,Soportes,USA Parts,2 TR,Base Minisplit 2 TR Soporte,2 TR,N/A,,Soporte,Pieza,
AC-VEN-AVA-001,"Extractor Avaly 5""",AC,Ventilación,Avaly,VA-125E,"Extractor Avaly De Aire 5""","5""",N/A,,Extracción,Pieza,
AC-VEN-AVA-002,Extractor Aire 4 Pulgadas Avaly,AC,Ventilación,Avaly,VA-100E,"Extractor Aire 4""",4 in,NA,NA,Ventilación,Pieza,Equipo
AC-VEN-SOL-001,Extractor Baño Soler & Palau Decor-100,AC,Ventilación,Soler & Palau,DECOR-100,Extractor para Baño Decor-100,Standard,127 V,,Extracción,Pieza,
AC-VEN-SOL-002,Persiana Plástico S&P 5 Pulgadas,AC,Ventilación,Soler & Palau,PER-5,"Persiana Plástico 5"" Pulgadas 3 Aletas","5""",N/A,,Ventilación,Pieza,
AC-VEN-SOL-003,Extractor Centrífugo Tejado S&P 0.25HP 1800RPM,AC,Ventilación,Soler & Palau,CRVLT-12,Extractor Centrifugo de Tejado y Pared 0.25HP 1800RPM,0.25 HP,208-230 V,,Extracción,Equipo,
AC-VEN-SOL-004,Extractor Centrífugo Tejado S&P 0.25HP 1550RPM,AC,Ventilación,Soler & Palau,CRVLT-16,Extractor Centrifugo de Tejado y Pared 0.25HP 1550RPM,0.25 HP,208-230 V,,Extracción,Equipo,
AC-VEN-SOL-005,Extractor Centrífugo S&P LCM-355,AC,Ventilación,Soler & Palau,LCM-355,Extractor Centrífugo LCM-355 1750RPM 330W,330 W,N/A,,Extracción,Equipo,
AC-VEN-SOL-006,Extractor Centrífugo S&P LCM-250,AC,Ventilación,Soler & Palau,LCM-250,Extractor Centrífugo LCM-250 3200RPM 235W,235 W,N/A,,Extracción,Equipo,
AC-VEN-SOL-007,Extractor Centrífugo S&P LCM-310,AC,Ventilación,Soler & Palau,LCM-310,Extractor Centrífugo LCM-310 1750RPM 190W,190 W,N/A,,Extracción,Equipo,
AC-VEN-SOL-008,Extractor Axial S&P 1450RPM 80W,AC,Ventilación,Soler & Palau,HXM-315/120,Extractor Axial 1450RPM 80W 127V,80 W,127 V,,Extracción,Equipo,
AC-VEN-SOL-009,Extractor Helicoidal S&P 1HP 450RPM,AC,Ventilación,Soler & Palau,HGT-1250-1,Extractor Helicoidal 1HP 450RPM 460V,1 HP,460 V,,Extracción,Equipo,
AC-VEN-SOL-010,Extractor Helicoidal S&P 7.5HP,AC,Ventilación,Soler & Palau,HGT-1500-7.5,Extractor Helicoidal 7 1/2HP 230/460V,7.5 HP,230/460 V,,Extracción,Equipo,
AC-VEN-SOL-011,Cortina Aire S&P CES-36 160W,AC,Ventilación,Soler & Palau,CES-36,"Cortina De Aire Ces 36"" S&P 1607Rpm 160W 127V","36""",127 V,,Cortina,Equipo,
AC-VEN-SOL-012,Extractor Falso Plafón S&P 226m3/hr,AC,Ventilación,Soler & Palau,CFP-225,Extractor Falso Plafon 226M3/Hr,226 m3/hr,N/A,,Extracción,Pieza,
AC-VEN-SOL-013,Extractor Helicoidal S&P 5HP 230/460V,AC,Ventilación,Soler & Palau,HGT-1500-5,Extractor Helicoidal 5HP,5 HP,230/460V,NA,Ventilación,Pieza,Equipo
AC-VEN-SOL-014,Extractor Axial S&P HXB-400/H 1/4HP,AC,Ventilación,Soler & Palau,HXB-400/H,Extractor Axial 1625 RPM,1/4 HP,127V,NA,Ventilación,Pieza,Equipo
AC-VEN-SOL-015,Extractor Axial S&P HXB-500/H 1/2HP,AC,Ventilación,Soler & Palau,HXB-500/H,Extractor Axial 5988 CFM,1/2 HP,127V,NA,Ventilación,Pieza,Equipo
AC-VEN-SOL-016,Extractor Tejado S&P CRHLT-12 Descarga Horizontal,AC,Ventilación,Soler & Palau,CRHLT-12,Extractor Centrifugo Tejado Horizontal,NA,NA,NA,Ventilación,Pieza,Equipo
AC-VEN-SOL-017,Cortina de Aire S&P CES-48 48 Pulgadas,AC,Ventilación,Soler & Palau,CES-48,Cortina Aire 48 Pulgadas,48 in,127V,NA,Ventilación,Pieza,Equipo
AC-VEN-SOL-018,Extractor Baño S&P Decor Design 300,AC,Ventilación,Soler & Palau,Decor Design 300,Extractor Baño 1750 RPM,NA,NA,NA,Ventilación,Pieza,Equipo
AC-VEN-SOL-019,Persiana Plástico S&P 4 Pulgadas,AC,Ventilación,Soler & Palau,PER-301,Persiana Plástico 3 Aletas,4 in,NA,NA,Ventilación,Pieza,Accesorio
AC-VEN-SOL-020,Extractor Helicoidal S&P 3HP 610RPM,AC,Ventilación,Soler & Palau,HGT-1250-3,Extractor Helicoidal 3HP,3 HP,NA,NA,Ventilación,Pieza,Equipo
AC-VEN-SOL-021,Extractor Pared S&P HCM-180,AC,Ventilación,Soler & Palau,HCM-180,Extractor Pared/Ventana 500m3/hr,NA,NA,NA,Ventilación,Pieza,Equipo
AC-VEN-SOL-022,Extractor Tejado S&P CRHLT-18,AC,Ventilación,Soler & Palau,CRHLT-18,Extractor Centrifugo Tejado,NA,NA,NA,Ventilación,Pieza,Equipo
AC-VEN-SOL-023,Extractor Tejado S&P CRHLT-14 Descarga Horizontal,AC,Ventilación,Soler & Palau,CRHLT-14,Extractor Centrifugo Tejado Horizontal,NA,NA,NA,Ventilación,Pieza,Equipo
AC-VEN-SOL-024,Cortina de Aire S&P CAS-36 36 Pulgadas,AC,Ventilación,Soler & Palau,CAS-36,Cortina Aire 36 Pulgadas,36 in,127V,NA,Ventilación,Pieza,Equipo
AC-VEN-SOL-025,Extractor Ducto S&P TD-350/125,AC,Ventilación,Soler & Palau,TD-350/125,Extractor Helicocentrífugo Ducto,NA,127V,NA,Ventilación,Pieza,Equipo
AC-VEN-SOL-026,Extractor Baño S&P Future 100,AC,Ventilación,Soler & Palau,FUTURE-100,Extractor Baño Habitat Future,56 CFM,127V,NA,Ventilación,Pieza,Equipo
AC-VEN-SOL-027,Extractor Axial Pared S&P HXM-200,AC,Ventilación,Soler & Palau,HXM-200,Extractor Axial 388 CFM,NA,127V,NA,Ventilación,Pieza,Equipo
AC-VEN-SOL-028,Extractor Baño Future 120 S&P,AC,Accesorios,Soler & Palau,Future 120,Future 120,,,,,Pieza,
AC-VEN-SOL-029,Extractor Baño Future 150 S&P,AC,Accesorios,Soler & Palau,Future 150,Future 150,,,,,Pieza,
AC-VEN-SOL-030,Extractor Axial Soler & Palau HXB-500/H 1/2HP 127V,AC,Accesorios,Soler & Palau,HXB-500/H 1/2HP,HXB-500/H 1/2HP,,,,,Pieza,
AC-VEN-SOL-031,Extractor Centrífugo Tejado Soler & Palau CRHLT-12,AC,Accesorios,Soler & Palau,CRHLT-12,CRHLT-12,,,,,Pieza,
AC-VEN-SOL-032,Cortina de Aire Soler & Palau CES 48 Pulgadas 127V,AC,Accesorios,Soler & Palau,CES 48 Pulgadas,CES 48 Pulgadas,,,,,Pieza,
AC-VEN-SOL-033,Extractor Baño Soler & Palau Decor Design 300,AC,Accesorios,Soler & Palau,Decor Design 300,Decor Design 300,,,,,Pieza,
AC-VEN-SOL-034,Persiana Plástico Soler & Palau 4 Pulgadas 3 Aletas,AC,Accesorios,Soler & Palau,4 Pulgadas 3 Aletas,4 Pulgadas 3 Aletas,,,,,Pieza,
AC-VEN-SOL-035,Extractor Helicoidal Soler & Palau 3HP 610RPM,AC,Accesorios,Soler & Palau,3HP 610RPM,3HP 610RPM,,,,,Pieza,
AC-VEN-SOL-036,Extractor Pared y Ventana Soler & Palau 500m3/hr,AC,Accesorios,Soler & Palau,500m3/hr,500m3/hr,,,,,Pieza,
AC-VEN-SOL-037,Extractor Centrífugo Tejado Soler & Palau CRHLT-18,AC,Accesorios,Soler & Palau,CRHLT-18,CRHLT-18,,,,,Pieza,
AC-VEN-SOL-038,Extractor Centrífugo Tejado Soler & Palau CRHLT-14,AC,Accesorios,Soler & Palau,CRHLT-14,CRHLT-14,,,,,Pieza,
AC-VEN-SOL-039,Extractor Ducto Soler & Palau TD-350/125 127V,AC,Accesorios,Soler & Palau,TD-350/125,TD-350/125,,,,,Pieza,
AC-VEN-SOL-040,Cortina de Aire Soler & Palau 36 Pulgadas .35KW,AC,Accesorios,Soler & Palau,36 Pulgadas .35KW,36 Pulgadas .35KW,,,,,Pieza,
AC-VIB-COL-001,"Eliminador Vibración Inox Coldtek 1/2""",AC,Antivibración,Coldtek,ELVBRF012,"Eliminador de Vibración con Malla de Acero Inoxidable 1/2""","1/2""",N/A,,Instalación,Pieza,
AC-VIB-COL-002,"Eliminador Vibración Inox Coldtek 5/8""",AC,Antivibración,Coldtek,ELVBRF058,"Eliminador de Vibración con Malla de Acero Inoxidable 5/8""","5/8""",N/A,,Instalación,Pieza,
AC-VIB-COL-003,"Eliminador Vibración Inox Coldtek 7/8""",AC,Antivibración,Coldtek,ELVBRF078,"Eliminador de Vibración con Malla de Acero Inoxidable 7/8""","7/8""",N/A,,Instalación,Pieza,
AC-VIB-COL-004,"Eliminador Vibración Inox Coldtek 1-1/8""",AC,Antivibración,Coldtek,ELVBRF118,"Eliminador de Vibración con Malla de Acero Inoxidable 1-1/8""","1-1/8""",N/A,,Instalación,Pieza,
AC-VIB-COL-005,"Eliminador Vibración Inox Coldtek 1-3/8""",AC,Antivibración,Coldtek,ELVBRF138,"Eliminador de Vibración con Malla de Acero Inoxidable 1-3/8""","1-3/8""",N/A,,Instalación,Pieza,
AC-VIB-COL-006,"Eliminador Vibración Inox Coldtek 1-5/8""",AC,Antivibración,Coldtek,ELVBRF158,"Eliminador de Vibración con Malla de Acero Inoxidable 1-5/8""","1-5/8""",N/A,,Instalación,Pieza,
AC-VIB-COL-007,"Eliminador Vibración Inox Coldtek 2-1/8""",AC,Antivibración,Coldtek,ELVBRF218,"Eliminador de Vibración con Malla de Acero Inoxidable 2-1/8""","2-1/8""",N/A,,Instalación,Pieza,
AC-VIB-DIV-001,Cojín Antivibrador Diversitech MP-2E,AC,Antivibración,Diversitech,MP-2E,"Cojín Antivibrador 2"" x 2"" x 7/8""","2x2x7/8""",N/A,,Instalación,Pieza,
AC-VIB-DIV-002,Cojín Antivibrador Diversitech MP-3E,AC,Antivibración,Diversitech,MP-3E,"Cojín Antivibrador 3"" x 3"" x 7/8""","3x3x7/8""",N/A,,Instalación,Pieza,
AC-VIB-DIV-003,Cojín Antivibrador Diversitech MP-4E,AC,Antivibración,Diversitech,MP-4E,"Cojín Antivibrador 4"" x 4"" x 7/8""","4x4x7/8""",N/A,,Instalación,Pieza,
AC-VIB-GEN-001,"Eliminador de Vibración 1-1/8""",AC,Accesorios,Genérico,VF-9,"Eliminador de Vibración con Malla Cobre 1-1/8"" Largo 13""","1-1/8""",N/A,,Instalación,Pieza,
AC-VIB-GEN-002,"Eliminador de Vibración 1-3/8"" Malla Cobre",AC,Antivibración,Genérico,VF-10,"Eliminador de Vibración con Malla de Cobre 1 3/8"" Largo 14 3/4""","1-3/8""",N/A,,Instalación,Pieza,
AC-VIB-GEN-003,"Eliminador de Vibración con Malla de Cobre 1-5/8""",AC,Antivibración,Genérico,VF-11,"Eliminador de Vibración con Malla de Cobre 1 5/8"" Largo 17""","1-5/8""",N/A,,Instalación,Pieza,
AC-VIB-GEN-004,"Eliminador de Vibración con Malla de Cobre 2-1/8""",AC,Antivibración,Genérico,VF-12,"Eliminador de Vibración con Malla de Cobre 2 1/8"" Largo 20""","2-1/8""",N/A,,Instalación,Pieza,
AC-VIB-GEN-005,"Eliminador de Vibración con Malla de Cobre 1/2""",AC,Antivibración,Genérico,VF-4,"Eliminador de Vibración con Malla de Cobre 1/2"" Largo 9""","1/2""",N/A,,Instalación,Pieza,
AC-VIB-GEN-006,"Eliminador de Vibración con Malla de Cobre 5/8""",AC,Antivibración,Genérico,VF-5,"Eliminador de Vibración con Malla de Cobre 5/8"" Largo 10""","5/8""",N/A,,Instalación,Pieza,
AC-VIB-GEN-007,"Eliminador de Vibración 7/8"" Malla Cobre",AC,Accesorios,Genérico,VF-8,"7/8"" x 12"" Largo",NA,NA,NA,NA,Pieza,Accesorio
AC-VIB-USA-001,Soportes Antivibración Minisplit USA Parts,AC,Antivibración,USA Parts,AntiVib,Soportes Antivibración Minisplit Amortiguadores,Minisplit,N/A,,Instalación,Juego,
EL-ACC-GEN-001,Línea Tomacorriente 3x16,EL,Eléctricos,Genérico,3x16,3x16,,,,,Pieza,
EL-ACC-TER-001,Línea Toma Corriente 3x16,EL,Eléctricos,Termicel,3x16,3x16,,,,,Pieza,
EL-CAB-GEN-001,Cable Eléctrico Calibre 4 (Metro),EL,Eléctricos,Genérico,Calibre 4,Calibre 4,,,,,Pieza,
EL-CAP-COP-001,Capacitor de Marcha Copeland 35 MFD 440V,EL,Capacitores,Copeland,914-0006-17,Capacitor Marcha 35 MFD 440V,35 MFD,440V,,Marcha,Pieza,
EL-CAP-COP-002,Capacitor de Marcha Copeland 50 MFD 440V,EL,Capacitores,Copeland,914-0037-20,Capacitor Marcha 50 MFD 440V,50 MFD,440V,,Marcha,Pieza,
EL-CAP-COP-003,Capacitor de Marcha Copeland 60 MFD 440V,EL,Capacitores,Copeland,914-0037-22,Capacitor Marcha 60 MFD 440V,60 MFD,440V,,Marcha,Pieza,
EL-CAP-COP-004,Capacitor de Marcha Copeland 60 MFD 440V,EL,Capacitores,Copeland,914-0037-22,Capacitor Marcha 60 MFD 440V,60 MFD,440V,,Marcha,Pieza,
EL-CAP-COP-005,Capacitor de Marcha Copeland 70 MFD 370V,EL,Capacitores,Copeland,914-0037-51,Capacitor Marcha 70 MFD 370V,70 MFD,370V,,Marcha,Pieza,
EL-CAP-COP-006,Capacitor de Arranque Copeland 270-324 MFD 330V,EL,Capacitores,Copeland,11970,Capacitor Arranque 270-324 MFD 330V,270-324 MFD,330V,,Arranque,Pieza,
EL-CAP-COP-007,Capacitor de Arranque Copeland 145-174 MFD 330V,EL,Capacitores,Copeland,914-0006-11,Capacitor Arranque 145-174 MFD 330V,145-174 MFD,330V,,Arranque,Pieza,
EL-CAP-COP-008,Capacitor de Marcha Copeland 40 MFD 370V,EL,Capacitores,Copeland,914-0037-12,Capacitor Marcha 40 MFD 370V,40 MFD,370V,,Marcha,Pieza,
EL-CAP-GEN-001,Capacitor de Arranque 216-259 MFD 110V,EL,Capacitores,Genérico,216-259,Capacitor Arranque 216-259 MFD 110V,216-259 MFD,110V,,Arranque,Pieza,
EL-CAP-GEN-002,Capacitor de Arranque 590-708 MFD 110V,EL,Capacitores,Genérico,590-708,Capacitor Arranque 590-708 MFD 110V,590-708 MFD,110V,,Arranque,Pieza,
EL-CAP-GEN-003,Capacitor de Trabajo 12.5 MFD 370V,EL,Capacitores,Genérico,12.5-370,Capacitor Trabajo 12.5 MFD 370V,12.5 MFD,370V,,Trabajo,Pieza,
EL-CAP-GEN-004,Capacitor de Trabajo 25+5 MFD 440V,EL,Capacitores,Genérico,25+5-440,Capacitor Trabajo 25+5 MFD 440V,25+5 MFD,440V,,Dual,Pieza,
EL-CAP-GEN-005,Capacitor de Trabajo 45 MFD 370V,EL,Capacitores,Genérico,45-370,Capacitor Trabajo 45 MFD 370V,45 MFD,370V,,Trabajo,Pieza,
EL-CAP-GEN-006,Capacitor de Trabajo 70 MFD 370V,EL,Capacitores,Genérico,70-370,Capacitor Trabajo 70 MFD 370V,70 MFD,370V,,Trabajo,Pieza,
EL-CAP-GEN-007,Capacitor de Arranque 233-280 MFD 110V,EL,Capacitores,Genérico,233-280,Capacitor Arranque 233-280 MFD 110V,233-280 MFD,110V,,Arranque,Pieza,
EL-CAP-GEN-008,Capacitor de Arranque 80-108 MFD 110V,EL,Capacitores,Genérico,80-108,Capacitor Arranque 80-108 MFD 110V,80-108 MFD,110V,,Arranque,Pieza,
EL-CAP-GEN-009,Capacitor de Trabajo 15 MFD 370V,EL,Capacitores,Genérico,15-370,Capacitor Trabajo 15 MFD 370V,15 MFD,370V,,Trabajo,Pieza,
EL-CAP-GEN-010,Capacitor de Trabajo 3 MFD 370V,EL,Capacitores,Genérico,3-370,Capacitor Trabajo 3 MFD 370V,3 MFD,370V,,Trabajo,Pieza,
EL-CAP-GEN-011,Capacitor de Trabajo 45+5 MFD 370V,EL,Capacitores,Genérico,45+5-370,Capacitor Trabajo 45+5 MFD 370V,45+5 MFD,370V,,Dual,Pieza,
EL-CAP-GEN-012,Capacitor de Trabajo 8 MFD 370V,EL,Capacitores,Genérico,8-370,Capacitor Trabajo 8 MFD 370V,8 MFD,370V,,Trabajo,Pieza,
EL-CAP-GEN-013,Capacitor de Arranque 233-280 MFD 110V,EL,Capacitores,Genérico,233-280,Capacitor Arranque 233-280 MFD 110V,233-280 MFD,110V,,Arranque,Pieza,
EL-CAP-GEN-014,Capacitor de Arranque 80-108 MFD 110V,EL,Capacitores,Genérico,80-108,Capacitor Arranque 80-108 MFD 110V,80-108 MFD,110V,,Arranque,Pieza,
EL-CAP-GEN-015,Capacitor de Trabajo 15 MFD 370V,EL,Capacitores,Genérico,15-370,Capacitor Trabajo 15 MFD 370V,15 MFD,370V,,Trabajo,Pieza,
EL-CAP-GEN-016,Capacitor de Trabajo 3 MFD 370V,EL,Capacitores,Genérico,3-370,Capacitor Trabajo 3 MFD 370V,3 MFD,370V,,Trabajo,Pieza,
